Index,HIP,Vmag,X,Y,Tipo,Name
36,27366,2.07,104.60300023607644,261.9855556532976,Científica,* kap Ori
37,57632,2.14,779.517067008529,359.6406339551528,Científica,* bet Leo
38,61932,2.2,904.2304988891376,91.02053931015313,Científica,* gam Cen
39,39429,2.21,429.0863714322543,101.42258264325426,Científica,* zet Pup
40,45556,2.21,609.4629986546577,27.33840904045431,Científica,* iot Car
41,76267,2.22,1097.9006742957847,502.78361825619095,Científica,* alf CrB
42,65378,2.23,806.8787509241155,550.4683136884678,Científica,* zet UMa
43,44816,2.23,548.74276340814,93.39176625249756,Científica,* lam Vel
44,87833,2.24,986.494638368712,684.123886535089,Científica,* gam Dra
45,25930,2.25,76.86459173942293,321.93506628816925,Científica,* del Ori
46,66657,2.29,983.851866663369,72.88571696622786,Científica,* eps Cen
47,78401,2.29,1286.5716370386908,259.32808513210875,Científica,* del Sco
48,71860,2.3,1097.5230927190307,105.182013537661,Científica,* alf Lup
49,71352,2.33,1103.3849309451318,132.61736874923685,Científica,* eta Cen
50,53910,2.34,654.3030266192624,528.8520974012085,Científica,* bet UMa
51,72105,2.35,1030.2598651089029,475.13705985636113,Científica,* eps Boo
52,58001,2.41,716.251645169473,524.1666958883834,Científica,* gam UMa
53,35904,2.45,325.6945469474547,148.82067531569882,Científica,* eta CMa
54,45941,2.47,602.7903904572084,45.84213278666121,Científica,* kap Vel
55,68002,2.55,1024.992219464605,103.76924030656136,Científica,* zet Cen
56,78820,2.56,1296.4071169750598,278.39485951751465,Científica,* bet01 Sco
57,54872,2.56,710.8236771162085,378.7827489065444,Científica,* del Leo
58,25985,2.58,84.8471985355428,216.3793341929092,Científica,* alf Lep
59,59196,2.58,850.286140855796,80.60533034435439,Científica,* del Cen
60,59803,2.58,863.9118622720421,227.30642643254305,Científica,* gam Crv
61,74785,2.61,1197.9853473741773,318.5215935962291,Científica,* bet Lib
62,77070,2.63,1205.2716621962763,415.0115830155361,Científica,* alf Ser
63,28380,2.65,242.4756399651144,500.8466090844835,Científica,* tet Aur
64,61359,2.65,902.009438970724,204.96369873147677,Científica,* bet Crv
65,73273,2.68,1138.4139255441694,128.89760022404442,Científica,* bet Lup
66,67927,2.68,986.4174583670564,414.1733878954266,Científica,* eta Boo
67,52727,2.69,721.37247469677,78.81795323850167,Científica,* mu. Vel
68,23015,2.69,148.36725119295397,520.756092154175,Científica,* iot Aur
69,35264,2.71,338.2082122030638,110.37861962928348,Científica,* pi. Pup
70,80331,2.73,880.8046660969667,644.068412352131,Científica,* eta Dra
71,79593,2.73,1288.7108262073405,378.8853937076613,Científica,* del Oph
72,61941,2.74,898.0387508074155,303.15364977457875,Científica,* gam Vir
73,52419,2.74,731.1713300955704,15.135558077117135,Científica,* tet Car
74,65109,2.75,983.8659789274536,151.56846604019995,Científica,* iot Cen
75,26241,2.75,79.95935804692417,287.6574010314924,Científica,* iot Ori
76,72622,2.75,1156.34006191168,273.6397276140712,Científica,* alf02 Lib
77,23875,2.78,27.168827027587145,302.7512975787664,Científica,* bet Eri
78,84345,2.78,1293.116231274619,524.9429690339404,Científica,* alf Her
79,80816,2.78,1195.9469799180767,520.1844341715805,Científica,* bet Her
80,85670,2.79,978.7899334093348,666.7074350611878,Científica,* bet Dra
81,59747,2.79,851.976168644846,45.445383183451725,Científica,* del Cru
82,81693,2.81,1137.396858778912,571.0462468905628,Científica,* zet Her
83,39757,2.83,396.37131506807,173.89143592474394,Científica,* rho Pup
84,18246,2.84,82.40803865584932,566.7294162092788,Científica,* zet Per
85,63608,2.85,915.4431731078756,362.87613744212,Científica,* eps Vir
86,30343,2.87,215.81119944041728,421.1546299996317,Científica,* mu. Gem
87,63125,2.89,836.1001007814666,476.0798228854249,Científica,* alf02 CVn
88,36188,2.89,300.484856395542,331.84272609653203,Científica,* bet CMi
89,78265,2.89,1281.379038094586,237.34540692988577,Científica,* pi. Sco
90,18532,2.9,151.4770882363343,595.7140232929056,Científica,* eps Per
91,14328,2.91,270.18081052041157,674.2254016188691,Científica,* gam Per
92,48002,2.92,665.710960881506,6.9334809136536215,Científica,* ups Car
93,60965,2.94,890.0718657709922,234.4929403806439,Científica,* del Crv
94,26451,2.97,140.81278987284696,436.5745292930975,Científica,* zet Tau
95,47908,2.97,557.0417594472178,386.419526902469,Científica,* eps Leo
96,64962,2.99,985.7736510431184,214.5668741296978,Científica,* gam Hya
97,75097,3.0,773.6779522680054,640.6623497599865,Científica,* gam UMi
98,54539,3.0,677.0434273360283,479.4501397386909,Científica,* psi UMa
99,17358,3.01,215.39345683620465,632.7192487430636,Científica,* del Per
100,33977,3.02,272.27472168806446,175.76205013728708,Científica,* omi02 CMa
101,59316,3.02,855.8751577720312,204.1791842827978,Científica,* eps Crv
102,30122,3.02,210.03223014849377,142.7869980492411,Científica,* zet CMa
103,23416,3.03,224.0539256212191,562.0922196676736,Científica,* eps Aur
104,71075,3.04,960.262514799307,514.0137991052884,Científica,* gam Boo
105,50801,3.06,613.4162154372522,463.1211548007035,Científica,* mu. UMa
106,32246,3.06,256.6593948253815,425.2400812731253,Científica,* eps Gem
107,94376,3.07,799.1242313488685,723.2952998612535,Científica,* del Dra
108,52943,3.11,697.7810150851882,219.9714513104314,Científica,* nu. Hya
109,56561,3.11,796.151446054839,24.658639609964624,Científica,* lam Cen
110,43813,3.11,464.8860728813713,309.9952228644678,Científica,* zet Hya
111,84379,3.12,1217.4642764915593,573.741658125876,Científica,* del Her
112,44127,3.12,505.61277884106033,494.5582703884309,Científica,* iot UMa
113,73334,3.13,1142.6780731240246,134.6120200814188,Científica,* kap Cen
114,45860,3.14,520.4672265814673,433.3032155788527,Científica,* alf Lyn
115,84380,3.16,1118.047900281312,617.6060674972776,Científica,* pi. Her
116,46701,3.16,621.7108516984894,38.48628830247803,Científica,* N Vel
117,83895,3.17,848.7573707847076,671.0159129066847,Científica,* zet Dra
118,31685,3.17,299.83721345247733,75.37410773591591,Científica,* nu. Pup
119,46853,3.17,551.9721540787982,507.3936337419873,Científica,* tet UMa
120,23767,3.18,210.0040454880955,548.8799371705957,Científica,* eta Aur
121,22449,3.19,14.979937609943576,386.7727896612524,Científica,* pi.03 Ori
122,83000,3.19,1302.5028782899742,483.4428846694233,Científica,* kap Oph
123,116727,3.21,580.8860746766827,720.2093489497005,Científica,* gam Cep
124,75141,3.22,1183.9923363233806,144.32840788496736,Científica,* del Lup
125,79882,3.23,1298.3346991031738,375.48436752715713,Científica,* eps Oph
126,106032,3.23,678.5768651365381,750.3876836474473,Científica,* bet Cep
127,68895,3.25,1073.9000620216575,207.69288884496672,Científica,* pi. Hya
128,73714,3.25,1181.3283067957002,228.15226348020263,Científica,* sig Lib
129,36377,3.25,383.8430245041866,82.12939837338327,Científica,* sig Pup
130,75458,3.29,876.8889245469434,610.2760258516031,Científica,* iot Dra
131,51576,3.3,713.994472711356,25.602695444890884,Científica,* p Car
132,29655,3.31,203.0600818598986,424.66722825181694,Científica,* eta Gem
133,59774,3.32,730.7718810342802,541.708986415932,Científica,* del UMa
134,54879,3.33,716.4064700846823,357.25343866024724,Científica,* tet Leo
135,38170,3.34,362.6915807228259,170.8753467010908,Científica,* ksi Pup
136,25281,3.35,60.66220624326055,312.5560622536525,Científica,* eta Ori
137,32362,3.35,230.3663269679231,365.4160136552887,Científica,* ksi Gem
138,8886,3.35,400.4951620241167,720.863845874199,Científica,* eps Cas
139,41704,3.35,503.0678977633603,552.7785649791335,Científica,* omi UMa
140,66249,3.38,995.475636772884,322.33515262438004,Científica,* zet Vir
141,43109,3.38,448.6392143531857,312.58287108755115,Científica,* eps Hya
142,63090,3.39,917.0216660067084,328.0525289876648,Científica,* del Vir
143,26207,3.39,100.96969083327257,378.5789600879922,Científica,* lam Ori
144,50371,3.39,694.0173793201885,25.653868015351417,Científica,* q Car
145,20894,3.4,16.32203357111897,454.42302757751065,Científica,* tet02 Tau
146,67464,3.41,1027.2898076213537,130.966968536845,Científica,* nu. Cen
147,45080,3.43,600.2128057436022,27.820372448546287,Científica,* a Car
148,50335,3.43,609.838929068611,385.5518463496362,Científica,* zet Leo
149,50372,3.45,605.7923356080211,469.010054073136,Científica,* lam UMa
150,74666,3.46,1038.1183637809115,517.8138537379,Científica,* del Boo
151,38827,3.46,471.4101158302024,42.31700918612344,Científica,* chi Car
152,67472,3.47,1026.0280835650804,127.11464675090886,Científica,* mu. Cen
153,49583,3.48,595.7804755414245,356.6460243291269,Científica,* eta Leo
154,81833,3.48,1081.6180961579878,598.1058516450735,Científica,* eta Her
155,33856,3.49,280.16665339627383,154.9600366474369,Científica,* sig CMa
156,55219,3.49,703.5904735635132,432.4938481699513,Científica,* nu. UMa
157,73555,3.49,982.6805598869672,537.3602553469746,Científica,* bet Boo
158,35550,3.5,307.58783908772847,398.43998732472346,Científica,* del Gem
159,32759,3.5,272.7307986252675,131.17758205598858,Científica,* kap CMa
160,47508,3.52,550.0024874051329,326.4016829950646,Científica,* omi Leo
161,48774,3.52,652.4219087685365,51.838740841361584,Científica,* phi Vel
162,20889,3.53,33.156133034991754,472.9523313906759,Científica,* eps Tau
163,40526,3.53,392.6575082452595,327.8632636291117,Científica,* bet Cnc
164,77516,3.54,1244.9241307858408,366.3223072214628,Científica,* mu. Ser
165,56343,3.54,790.5349323111162,158.8261179248748,Científica,* ksi Hya
166,27288,3.55,107.79445186341434,231.93196428568513,Científica,* zet Lep
167,69996,3.55,1066.3429394953196,111.2531007654564,Científica,* iot Lup
168,89937,3.55,771.7340728905352,698.4646741260573,Científica,* chi Dra
169,55282,3.56,753.8091409365336,229.8706566198952,Científica,* del Crt
170,71053,3.57,997.501483703122,482.0606732254722,Científica,* rho Boo
171,44471,3.57,509.8308885165845,490.2374368549847,Científica,* kap UMa
172,37740,3.57,352.58722680049607,403.2919857856416,Científica,* kap Gem
173,75177,3.57,1197.156023050725,169.686331214376,Científica,* phi01 Lup
174,35350,3.58,294.24419894054563,373.362277339357,Científica,* lam Gem
175,27072,3.59,118.27769923609388,186.99942092810664,Científica,* gam Lep
176,24674,3.59,45.38468316253048,288.0685857560759,Científica,* tau Ori
177,57757,3.59,798.4815914451119,305.5706031925433,Científica,* bet Vir
178,60260,3.59,857.8328973292978,38.34335479372699,Científica,* eps Cru
179,33018,3.6,298.1563384435436,462.7776760255415,Científica,* tet Gem
180,42536,3.6,534.5271090903542,49.12252071976353,Científica,* omi Vel
181,46651,3.6,580.9316350583445,108.57894717877168,Científica,* psi Vel
182,76470,3.6,1239.2578099902264,219.8100640019127,Científica,* ups Lib
183,49841,3.61,619.1913810839187,232.32254633831832,Científica,* lam Hya
184,37819,3.62,390.4827279733237,108.92482107133418,Científica,* c Pup
185,57363,3.63,805.245378783636,8.991498025325884,Científica,* lam Mus
186,46733,3.65,564.5045683994452,556.4280583454774,Científica,* h UMa
187,77233,3.65,1170.8191430478548,460.1152406752997,Científica,* bet Ser
188,75695,3.66,1076.2641833781734,508.3509515335195,Científica,* bet CrB
189,76600,3.66,1239.95659290605,210.42359841156843,Científica,* tau Lib
190,68756,3.67,790.518013283769,596.6917515198867,Científica,* alf Dra
191,42828,3.68,481.7113585884259,135.71150756274957,Científica,* alf Pyx
192,22549,3.68,13.552587776369704,377.687676062098,Científica,* pi.04 Ori
193,57399,3.69,719.4673655368335,498.36722299972166,Científica,* chi UMa
194,23453,3.69,205.3617608392538,550.87199674075,Científica,* zet Aur
195,47854,3.69,656.0572510287302,17.3483573782685,Científica,* l Car
196,77622,3.71,1222.9779415329306,409.05983578044334,Científica,* eps Ser
197,38414,3.71,411.5855525722767,97.56570743895917,Científica,* a Pup
198,22797,3.71,11.481581472833916,356.42800957970906,Científica,* pi.05 Ori
199,28103,3.71,125.45690141519708,234.0133356467858,Científica,* eta Lep
200,28358,3.72,340.5522535127163,570.5906805596011,Científica,* del Aur
201,87585,3.73,933.1466541244392,687.4941631570607,Científica,* ksi Dra
202,72220,3.73,1120.005891059241,361.8548918592257,Científica,* 109 Vir
203,80170,3.74,1200.0170379473802,503.0463600581559,Científica,* gam Her
204,44511,3.75,552.1711202670933,77.196497680698,Científica,* c Vel
205,30867,3.76,183.68003143797372,267.19932230301043,Científica,* bet Mon
206,27654,3.76,127.53439034521466,195.66108381156184,Científica,* del Lep
207,26549,3.77,87.65453057049316,305.9527127915737,Científica,* sig Ori
208,20455,3.77,16.871734451682176,468.5248342442946,Científica,* del Tau
209,13268,3.77,297.4188945623997,687.2448500875437,Científica,* eta Per
210,17529,3.77,168.4803593114062,615.4357947135318,Científica,* nu. Per
211,42570,3.77,512.8254738024715,76.24188813272148,Científica,* b Vel
212,48319,3.78,578.8668279072177,538.3092528305453,Científica,* ups UMa
213,36046,3.78,329.4116214690894,423.7588247127411,Científica,* iot Gem
214,71795,3.78,1076.9021001441697,414.80120057046446,Científica,* zet Boo
215,53253,3.78,739.5988243338379,39.47688570216892,Científica,* u Car
216,53229,3.79,663.4386366927766,434.2007603040521,Científica,*  46 LMi
217,76276,3.8,1174.4918645287223,429.5766357171854,Científica,* del Ser
218,37229,3.8,347.05954796622984,161.38004251892977,Científica,CD-26  4707
219,51232,3.81,704.1973076359633,37.60198010480585,Científica,* s Car
220,76952,3.81,1110.263220453854,506.30642847520943,Científica,* gam CrB
221,86414,3.82,1040.4593319428698,662.0347572998472,Científica,* iot Her
222,80883,3.82,1297.4382322618374,421.87589894117826,Científica,* lam Oph
223,56211,3.82,661.9162813236068,585.7480299611276,Científica,* lam Dra
224,45688,3.82,518.9710065783652,443.9287236277884,Científica,*  38 Lyn
225,51069,3.83,653.0060229767971,214.67158385287848,Científica,* mu. Hya
226,68245,3.83,1041.2848213059508,129.7483931833127,Científica,* phi Cen
227,97433,3.84,756.541006586855,729.7770392138622,Científica,* eps Dra
228,51624,3.84,646.0732208977838,326.46628063347396,Científica,* rho Leo
229,51986,3.84,704.97721192833,82.89727172646323,Científica,* p Vel
230,20885,3.84,16.64264478003145,455.0128574967031,Científica,* tet01 Tau
231,43783,3.84,585.9230326886095,18.645630855216936,Científica,* c Car
232,61622,3.85,898.6716470063452,92.62822634850193,Científica,* tau Cen
233,78072,3.85,1184.468479615512,468.1585907025108,Científica,* gam Ser
234,30277,3.85,226.35525002939968,124.58099307627872,Científica,* del Col
235,61281,3.85,703.3786243588868,595.395398653152,Científica,* kap Dra
236,50191,3.85,659.704181611894,106.27179919913326,Científica,* q Vel
237,87808,3.86,1127.7830617809364,656.5146158482958,Científica,* tet Her
238,68282,3.87,1036.1338294294749,116.3199668126852,Científica,* ups01 Cen
239,78104,3.87,1273.7470843568162,217.65845523169224,Científica,* rho Sco
240,71957,3.87,1129.7409686007843,323.52671143354655,Científica,* mu. Vir
241,43023,3.87,519.6503678630804,79.54745952099323,Científica,* a Vel
242,48455,3.88,568.7988861014353,396.0470143203454,Científica,* mu. Leo
243,45336,3.89,501.54470653623895,293.4225538823762,Científica,* tet Hya
244,60129,3.89,856.2135137166589,301.3109032666906,Científica,* eta Vir
245,33152,3.89,256.1125943192952,174.1057535736526,Científica,* omi01 CMa
246,65936,3.9,999.2026824022964,140.0636466576455,Científica,* d Cen
247,47431,3.9,551.8540282652822,278.6446390004261,Científica,* iot Hya
248,55425,3.9,776.9958807813584,60.41395262338093,Científica,* pi. Cen
249,76333,3.91,1238.54988060833,296.55513883223966,Científica,* gam Lib
250,41307,3.91,409.84772865288386,267.3278103983335,Científica,*  30 Mon
251,73807,3.91,1134.6419170551408,107.4545763259442,Científica,* pi. Lup
252,79992,3.91,1007.593078142034,604.4786964116806,Científica,* tau Her
253,60823,3.91,881.487865125652,84.2869941002652,Científica,* sig Cen
254,83207,3.92,1157.8585219384008,584.4661899824682,Científica,* eps Her
255,78933,3.93,1298.95844986876,273.5428408457587,Científica,* ome Sco
256,13531,3.93,265.0237914664298,681.2404467026631,Científica,* tau Per
257,54463,3.93,760.4409466181402,40.20771811991709,Científica,* x Car
258,42911,3.94,448.6339118969744,365.05766195133214,Científica,* del Cnc
259,37447,3.94,326.35263576299735,244.1369656469019,Científica,* alf Mon
260,31592,3.95,212.0349354716824,200.7279199869878,Científica,* nu.02 CMa
261,9598,3.95,473.8938324698775,705.6037109544376,Científica,*  50 Cas
262,44248,3.96,498.0349606961784,467.2387475318102,Científica,*  10 UMa
263,45101,3.96,613.0737809597007,13.942766381046038,Científica,* i Car
264,19343,3.96,222.57860699397355,612.7659551925524,Científica,* c Per
265,27673,3.97,242.9515678143056,513.6184365138454,Científica,* nu. Aur
266,59449,3.97,854.0493660736689,73.57040707705809,Científica,* rho Cen
267,42515,3.97,480.198489696642,126.014930244095,Científica,* bet Pyx
268,18614,3.98,117.05209176332666,578.6264731926756,Científica,* ksi Per
269,29651,3.99,156.36177983454058,274.44276746493745,Científica,* gam Mon
270,65477,3.99,807.856642636546,551.1031965695242,Científica,* g UMa
271,79374,4.0,1308.4682695760214,282.9489442829614,Científica,* nu. Sco
272,55642,4.0,739.0849010865268,338.0023484206645,Científica,* iot Leo
273,78527,4.01,898.3538290856901,626.8014261058736,Científica,* tet Dra
274,71865,4.01,1124.6787159462503,156.4315635882429,Científica,* b Cen
